parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,3,37,100000,100000,614,584,782,796,0.5,0.48239895697522817,0.4775212636695018
70,3,38,100000,100000,587,566,778,786,0.5,0.5099075297225891,0.49814126394052044
70,3,39,100000,100000,595,619,783,780,0.5,0.5241116751269036,0.47518610421836227
70,3,40,100000,100000,569,554,812,797,0.5,0.5255172413793103,0.5244922341696535
70,3,41,100000,100000,581,600,790,792,0.5,0.5052631578947369,0.5134146341463415
70,3,42,100000,100000,525,590,787,790,0.5,0.5184659090909091,0.49326805385556916
70,3,43,100000,100000,565,581,801,792,0.5,0.5026315789473684,0.5103030303030303
70,3,44,100000,100000,583,523,787,798,0.5,0.49637155297532654,0.5
70,3,45,100000,100000,555,589,795,789,0.5,0.4645161290322581,0.4583835946924005
70,3,46,100000,100000,593,571,794,801,0.5,0.5012919896640827,0.5152253349573691
70,3,47,100000,100000,572,545,803,800,0.5,0.4807436918990704,0.49166666666666664
70,3,48,100000,100000,576,555,808,810,0.5,0.5061058344640434,0.5204326923076923
70,3,49,100000,100000,569,616,776,799,0.5,0.5084745762711864,0.4835965978128797
70,3,50,100000,100000,591,552,818,815,0.5,0.5033112582781457,0.4958775029446408
70,3,51,100000,100000,606,579,807,792,0.5,0.5207792207792208,0.4939759036144578
70,3,52,100000,100000,568,606,789,796,0.5,0.5019762845849802,0.5078979343863913
70,3,53,100000,100000,580,579,804,801,0.5,0.519053876478318,0.526378896882494
70,3,54,100000,100000,585,585,799,792,0.5,0.523936170212766,0.51338199513382
70,3,55,100000,100000,612,594,792,791,0.5,0.5025,0.4969400244798042
70,3,56,100000,100000,570,570,787,809,0.5,0.5026595744680851,0.49939540507859737
70,3,57,100000,100000,582,560,824,808,0.5,0.5040106951871658,0.5017878426698451
70,3,58,100000,100000,570,587,786,797,0.5,0.49606299212598426,0.48125755743651755
70,3,59,100000,100000,574,597,797,795,0.5,0.45591939546599497,0.4807228915662651
70,3,60,100000,100000,573,592,788,798,0.5,0.5130208333333334,0.49818181818181817
70,3,61,100000,100000,609,542,783,781,0.5,0.501412429378531,0.5086848635235732
70,3,62,100000,100000,579,579,797,797,0.5,0.5,0.47342995169082125
70,3,63,100000,100000,598,588,803,802,0.5,0.491025641025641,0.5095923261390888
70,3,64,100000,100000,584,574,792,789,0.5,0.5130890052356021,0.503037667071689
70,3,65,100000,100000,571,610,800,796,0.5,0.4867021276595745,0.46833930704898447
70,3,66,100000,100000,541,601,796,805,0.5,0.5124309392265194,0.4975903614457831
70,3,67,100000,100000,578,584,782,795,0.5,0.4889466840052016,0.5060975609756098
70,3,68,100000,100000,594,573,788,806,0.5,0.5060728744939271,0.5115151515151515
70,3,69,100000,100000,559,617,781,791,0.5,0.5034674063800277,0.5104551045510455
70,3,70,100000,100000,556,584,796,793,0.5,0.5033025099075297,0.47418967587034816
70,3,71,100000,100000,583,564,791,797,0.5,0.484251968503937,0.49760765550239233
70,3,72,100000,100000,593,565,796,803,0.5,0.49473684210526314,0.5163636363636364
70,3,73,100000,100000,554,601,817,818,0.5,0.5028328611898017,0.5089392133492253
70,3,74,100000,100000,583,549,803,804,0.5,0.4919786096256685,0.5095923261390888
70,3,75,100000,100000,614,582,800,793,0.5,0.485,0.5054413542926239
70,3,76,100000,100000,567,561,795,790,0.5,0.5121293800539084,0.5006105006105006
70,3,77,100000,100000,592,599,808,805,0.5,0.5222513089005235,0.5011848341232228
70,3,78,100000,100000,577,550,808,801,0.5,0.516914749661705,0.5012048192771085
70,3,79,100000,100000,568,602,790,800,0.5,0.4844155844155844,0.4866504854368932
70,3,80,100000,100000,585,563,787,797,0.5,0.5006675567423231,0.501219512195122
70,3,81,100000,100000,591,592,796,804,0.5,0.4748743718592965,0.5121065375302664
70,3,82,100000,100000,628,596,797,789,0.5,0.5361216730038023,0.5183374083129584
70,3,83,100000,100000,612,604,799,792,0.5,0.4968944099378882,0.4939467312348668
70,3,84,100000,100000,557,553,811,796,0.5,0.510989010989011,0.5132530120481927
70,3,85,100000,100000,604,606,792,783,0.5,0.5068836045056321,0.5079365079365079
70,3,86,100000,100000,615,562,809,819,0.5,0.4973821989528796,0.517814726840855
70,3,87,100000,100000,609,575,791,787,0.5,0.4880201765447667,0.5018270401948843
70,3,88,100000,100000,577,579,792,792,0.5,0.49214659685863876,0.47285886610373945
70,3,89,100000,100000,585,568,793,798,0.5,0.5362517099863201,0.5157004830917874
70,3,90,100000,100000,574,589,811,808,0.5,0.5341365461847389,0.5065710872162486
70,3,91,100000,100000,552,560,809,794,0.5,0.5111420612813371,0.5120192307692307
70,3,92,100000,100000,575,609,787,792,0.5,0.48596938775510207,0.4993894993894994
70,3,93,100000,100000,597,578,810,795,0.5,0.5181347150259067,0.5138387484957883
70,3,94,100000,100000,604,583,803,809,0.5,0.5256064690026954,0.48982035928143713
70,3,95,100000,100000,562,625,805,805,0.5,0.474034620505992,0.4994026284348865
70,3,96,100000,100000,620,608,801,796,0.5,0.5138539042821159,0.48851269649334944
70,3,97,100000,100000,558,611,796,801,0.5,0.49411764705882355,0.481437125748503
70,3,98,100000,100000,581,584,799,795,0.5,0.5052219321148825,0.4878640776699029
70,3,99,100000,100000,583,578,796,796,0.5,0.5065616797900262,0.46916565900846435
70,4,0,100000,100000,601,615,795,791,0.5,0.4956736711990111,0.4945188794153471
70,4,1,100000,100000,563,584,790,796,0.5,0.47809278350515466,0.4848116646415553
70,4,2,100000,100000,581,590,801,812,0.5,0.5012853470437018,0.48862275449101794
70,4,3,100000,100000,542,590,777,792,0.5,0.4920212765957447,0.4695121951219512
70,4,4,100000,100000,581,582,786,782,0.5,0.4878048780487805,0.48717948717948717
70,4,5,100000,100000,591,588,782,778,0.5,0.4935897435897436,0.46921182266009853
70,4,6,100000,100000,547,523,786,791,0.5,0.459802538787024,0.49326805385556916
70,4,7,100000,100000,569,592,804,804,0.5,0.5213903743315508,0.4897713598074609
70,4,8,100000,100000,599,596,804,796,0.5,0.4962311557788945,0.47165259348612787
70,4,9,100000,100000,588,559,793,795,0.5,0.49193548387096775,0.48175182481751827
70,4,10,100000,100000,558,562,805,806,0.5,0.5117241379310344,0.5125148986889154
70,4,11,100000,100000,562,569,794,781,0.5,0.5101763907734057,0.527027027027027
70,4,12,100000,100000,597,598,792,791,0.5,0.49302915082382764,0.4794188861985472
70,4,13,100000,100000,548,531,776,785,0.5,0.5089285714285714,0.5255292652552926
